state,structure,status,requested_seed,final_seed,seed_retried,partition_mode,audit_result,audit_population_pass,manifest_population_balance_valid,native_manifest_consistent,units,districts,edge_cut,edge_cut_ratio_to_standard,canonical_assignment_sha256
IN,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1696,9,1636731.23327,0.895229480167,1a6fdc3244a878fb598c000295f3ccb248ed07448beecbb8cae73eb306f72d2b
IN,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1696,9,1727736.0499,0.945005639519,777f0d05d673e923cba576137353f62e351a2e14684ff5dbc266082da08e0731
MA,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1620,9,897464.8369,1.0,7d1e9c90477e8e3ebb9941025bc932ad43da1f364d3339554de3021b1ef6156d
MA,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1620,9,757997.75447,0.84459883363,0da7f91e455190955e175e4e825c682fd0a28c29e2fd4f465ee27ab78220f64e
MA,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1620,9,728167.67779,0.811360677155,4b811bcb885ff2d3681d1eaa1a7394216202c8e96e1805bf542e0483872660ca
MA,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1620,9,732622.97944,0.816324996053,704555df0d646e38dc237a31878163d757ed80ae42570c94f251fd0031945e3f
TN,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1701,9,1989852.53177,1.0,fe5e872164f4ff7ce74344916ec64615380932daac548932e51b24923404153c
TN,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1701,9,2027222.28998,1.018780164667,76c16e1a764d2242593d791729d328a4ac6cd664e47b72cf401d7a14a07fc90b
TN,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1701,9,1789022.14127,0.8990727266,ea6136c85de069424f1a92099abd3d171bdf9a04e84cebeab27c8c93912a3a98
TN,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1701,9,1745895.21175,0.877399296619,1c94999acce4164ce1222505387929441cbedc509ce13db5b18e14faad479c5a
